neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,rel_velocity,miss_distance,is_hazardous,year
54099614,"(2020 XK3)",21.73,0.1198270801,0.2679414966,109569.296728284,29650924.7837134,False,2020
54099615,"(2020 XL3)",21.27,0.1480999721,0.331161605,83738.0252517484,17689343.557628,True,2020
54099616,"(2020 XM3)",22.72,0.0759547566,0.1698399991,47185.2032189405,17379869.8605273,False,2020
54099617,"(2020 XN3)",22.9,0.0699125232,0.1563291544,79711.3608294447,18850894.6634251,False,2020
54099618,"(2020 XS3)",25.1,0.0253837029,0.0567596853,60093.6156698996,7758336.99355403,False,2020
54099619,"(2020 XR3)",22.6,0.0802703167,0.1794898848,48128.1975400963,41324879.8848286,False,2020
54099620,"(2020 XQ3)",24.9,0.0278326768,0.0622357573,21334.8121997633,18050276.4686036,False,2020
54099621,"(2020 XP3)",24.7,0.0305179233,0.0682401509,78082.5251882848,8073315.87731093,False,2020
54099634,"(2020 XT3)",22.6,0.0802703167,0.1794898848,52591.0270905886,27110239.9500976,False,2020
54099635,"(2020 XU3)",22.27,0.0934447651,0.2089488469,48961.1640822948,12223170.5598518,False,2020
54099636,"(2020 XV3)",22.84,0.0718712133,0.1607089186,65663.3041915486,27985268.1852963,False,2020
54099637,"(2020 XW3)",25.68,0.0194336768,0.0434550225,35456.5798005969,8664653.75790128,False,2020
54099638,"(2020 XX3)",28.48,0.0053524791,0.011968507,32531.511814941,57066.381399124,False,2020
54099639,"(2020 XY3)",20.48,0.2130860292,0.4764748465,51172.5476623035,12069100.8355229,False,2020
54099640,"(2020 XZ3)",20.74,0.1890405519,0.4227075246,81641.4903454578,28059463.1188961,False,2020
54099641,"(2020 XA4)",21.0,0.1677084622,0.3750075218,37683.2966151954,37427441.6733789,False,2020
54099642,"(2020 XB4)",23.79,0.0464039528,0.1037623929,61866.5737294069,22591344.017389,False,2020
54099644,"(2020 XC4)",26.0,0.0167708462,0.0375007522,26976.501140205,2245258.49618641,False,2020
54099645,"(2020 XG4)",23.01,0.0664591797,0.1486072436,64103.7663780611,7837024.60550638,False,2020
54099646,"(2020 XE4)",25.5,0.0211132445,0.0472106499,36299.9148200092,5245288.69092458,False,2020
54099647,"(2020 XF4)",27.57,0.0081386988,0.0181986838,33411.3500015874,343061.590390537,False,2020
54099648,"(2020 XH4)",23.27,0.0589596608,0.1318378096,24360.2999553962,27855697.9246197,False,2020
54099942,"(2020 XJ4)",24.73,0.0300992017,0.067303861,24853.9060822989,6830276.65751545,False,2020
54099943,"(2020 KK26)",18.94,0.4330668855,0.9683669947,45902.6118343084,37782796.4986563,False,2020
54099944,"(2020 XS4)",27.1,0.0101054342,0.0225964377,22907.815011986,9414112.38338149,False,2020
54099945,"(2020 XT4)",21.17,0.1550797087,0.3467687706,43193.5491305738,52620370.1769904,False,2020
54099946,"(2020 XR4)",22.3,0.0921626549,0.2060819612,38564.6607428397,37363628.6225201,False,2020
54099947,"(2020 XU4)",27.9,0.0069912523,0.0156329154,33239.710524634,2899020.51613121,False,2020
54099948,"(2020 XV4)",25.46,0.021505769,0.0480883614,60067.2024029742,2445935.82586834,False,2020
54099949,"(2020 XW4)",21.25,0.1494703242,0.3342258056,57034.0660725927,29392809.8455179,False,2020
54099950,"(2020 XY4)",27.0,0.0105816886,0.023661375,52470.0136195417,611709.086301649,False,2020
54099951,"(2020 XZ4)",24.89,0.0279611466,0.0625230245,46129.3309936735,2071038.0883663,False,2020
54099952,"(2020 UM8)",25.2,0.0242412481,0.0542050786,46489.7895844688,7999800.77627148,False,2020
54100190,"(2020 XA5)",24.29,0.0368599699,0.0824213984,50707.5427658918,4244033.64760474,False,2020
